SOC_code
47-5013
17-2199
49-3042
19-5011
49-3023
17-2141
17-2141
19-4031
19-3011
51-9061
53-7071
49-3023
15-2051
15-2051
15-2051
15-2051
47-2111
11-3031
49-9021
13-1081
49-1011
51-9061
49-9041
11-3071
49-9043
17-2041
49-2095
17-2141
53-3032
17-3024
49-3042
49-9041
17-2041
53-3032
17-3024
17-2051
19-3094
17-2141
51-8021
49-9052
17-2041
51-8013
17-2199
15-1232
17-2071
17-2112
47-4011
41-4011
49-9061
11-3071
11-9151
15-1244
13-1161
17-2041
19-2041
49-2095
17-2071
17-3024
53-7071
19-2032
47-1011
17-2071
49-9081
11-2022
17-2112
17-2112
17-2121
17-3029
19-2041
49-2094
49-9041
49-9041
11-2022
17-2141
53-3052
49-9012
17-2141
49-9021
13-1041
17-2171
11-3051
11-3051
17-2072
43-5061
11-2022
51-8013
51-9061
49-1011
47-4011
49-9041
11-3071
47-2152
17-2071
17-2171
17-2131
49-3043
47-4011
17-2071
17-2141
51-4041
19-4031
15-1244
17-2041
17-2112
13-1111
51-8013
49-9071
17-2199
13-1041
51-9081
17-3024
27-3031
53-4011
19-2041
47-2111
17-2112
17-3024
13-2051
17-2141
51-8013
53-7073
19-3051
53-5021
17-2131
17-3024
17-2141
17-2071
49-2095
49-3023
51-8013
49-3042
17-2071
17-2131
17-2141
49-9041
17-3023
17-2112
47-2152
11-3031
53-7062
53-6051
19-2032
13-1199
17-2199
17-2071
11-9151
17-2131
17-3023
49-3023
19-5011
19-2032
17-2199
15-1252
17-2141
13-1023
17-3026
47-2152
23-1011
47-2111
49-1011
11-9141
11-9021
17-2041
19-5012
11-9041
51-4121
11-3012
17-2111
15-2051
15-2051
51-8012
53-7071
11-3071
17-3026
17-2171
17-3029
17-2141
13-1161
11-9041
17-2041
13-1081
49-9021
15-1221
47-5012
17-2141
47-2152
51-8013
19-2042
51-8031
51-9161
47-2152
19-3011
49-3021
17-2141
49-3051
17-2112
13-1199
51-2092
17-2041
27-3031
51-8013
11-1021
19-4099
17-3026
11-3071
51-8092
15-1252
17-3024
17-3027
17-2171
19-5011
17-2112
49-9041
51-9061
49-9071
17-2121
49-3031
17-2112
17-2199
17-2141
17-2041
49-2095
53-3032
51-8012
17-2112
17-2081
49-3023
17-2041
53-3032
51-2092
53-4011
53-3032
17-2071
17-3027
47-2152
17-3029
49-3023
43-5061
17-3023
19-4031
17-2061
17-2111
53-6099
17-2171
17-2141
43-6011
17-2111
17-2199
17-2199
15-1212
53-1043
19-4031
11-2032
49-3031
51-8092
17-2141
