Unnamed: 0,occupation_id,core_occupation,value_chain,technology,Category,Cluster
114,115,Mechanical engineer - Equipment & piping,Upgrading,Ammonia,engineer,8
115,116,Mechanical engineer - Reliability,Upgrading,Ammonia,engineer,3
116,117,Process control engineer,Upgrading,Ammonia,engineer,0
117,118,Process engineer,Upgrading,Ammonia,engineer,0
118,119,Process safety engineer,Upgrading,Ammonia,engineer,0
119,120,Production engineer,Upgrading,Ammonia,engineer,0
120,121,Control room operator,Upgrading,Ammonia,operator,4
121,122,Lab technician,Upgrading,Ammonia,technician,1
122,123,Maintenance planner,Upgrading,Ammonia,other,5
123,124,Maintenance trade - Instrumentation technician,Upgrading,Ammonia,technician,1
124,125,Maintenance trade - Mechanical,Upgrading,Ammonia,mechanic,3
125,126,Plant manager,Upgrading,Ammonia,manager,4
126,127,Plant operator,Upgrading,Ammonia,operator,4
127,128,Dual fuel heavy duty mechanic,End Use,Transport,mechanic,8
128,129,Transit operator,End Use,Transport,operator,4
129,130,Fleet manager,End Use,Transport,manager,5
130,131,Fuel cell electric vehicle (FCEV) technician,End Use,Transport,technician,1
131,132,Locomotive engineer,End Use,Transport,engineer,8
132,133,Locomotive mechanic (shop and field),End Use,Transport,mechanic,8
133,134,Transportation solutions advisor,End Use,Transport,other,5
134,135,"Truck drivers - Class 1 & 3 Transport, freight, delivery/courier",End Use,Transport,other,8
135,136,Automation & controls specialist,End Use,Fueling Station,specialist,2
136,137,Mechanical engineer - Compression,End Use,Fueling Station,engineer,8
137,138,Mechanical engineer - Equipment & piping,End Use,Fueling Station,engineer,8
138,139,Mechanical engineer - Reliability,End Use,Fueling Station,engineer,3
139,140,Process control engineer,End Use,Fueling Station,engineer,0
140,141,Process engineer,End Use,Fueling Station,engineer,0
141,142,Process safety engineer,End Use,Fueling Station,engineer,0
142,143,Product engineer,End Use,Fueling Station,engineer,0
143,144,Quality engineer,End Use,Fueling Station,engineer,0
144,145,Fueling station technician,End Use,Fueling Station,technician,1
145,146,Logistics coordinator,End Use,Fueling Station,other,5
146,147,Maintenance technician - Compression,End Use,Fueling Station,technician,8
147,148,Maintenance technician - Electrical & mechanical,End Use,Fueling Station,technician,1
148,149,Truck Driver - Hydrogen fuel delivery,End Use,Fueling Station,other,8
149,150,Asset performance manager,End Use,Heating,manager,7
150,151,Gas fuser,End Use,Heating,other,8
151,152,"HVAC technician (also known as: Refrigeration and Air Conditioning Mechanic, HVAC-R technician)",End Use,Heating,technician,1
152,153,Utility inspector,End Use,Power Generation,inspector,2
153,154,Utility operator,End Use,Power Generation,operator,4
154,155,Utility services planner,End Use,Power Generation,other,5
155,156,Utility services technician,End Use,Power Generation,technician,1
156,157,Welding engineer,End Use,Power Generation,engineer,8
157,158,Automation & controls specialist,End Use,Power Generation,specialist,2
158,159,Electrical engineer,End Use,Power Generation,engineer,6
159,160,Electrical & instrumentation engineer,End Use,Power Generation,engineer,6
160,161,Facility engineer,End Use,Power Generation,engineer,0
161,162,Hydrogen integration specialist,End Use,Power Generation,specialist,8
162,163,Mechanical engineer - Equipment & piping,End Use,Power Generation,engineer,8
163,164,Mechanical engineer - Reliability,End Use,Power Generation,engineer,3
164,165,Process control engineer,End Use,Power Generation,engineer,0
165,166,Process engineer,End Use,Power Generation,engineer,0
166,167,Process safety engineer,End Use,Power Generation,engineer,0
167,168,Control room operator,End Use,Power Generation,operator,4
168,169,Maintenance planner,End Use,Power Generation,other,5
169,170,Maintenance trade - Electrical,End Use,Power Generation,other,3
170,171,Maintenance trade - Instrumentation & controls,End Use,Power Generation,other,2
171,172,Maintenance trade - Mechanical,End Use,Power Generation,mechanic,3
172,173,Plant operator,End Use,Power Generation,operator,4
173,174,Power scheduler,End Use,Power Generation,other,1
174,175,Applications engineer,Manufacturing,Manufacturing,engineer,0
175,176,Assembly technician (also known as: Production worker),Manufacturing,Manufacturing,technician,1
176,177,Compliance specialist (also known as: Controls specialist),Manufacturing,Manufacturing,specialist,2
177,178,"CNC fabrication technician (also known as: CNC operator, CNC programmer, Manufacturing technician)",Manufacturing,Manufacturing,technician,1
178,179,Design engineer - Electrical & instrumentation,Manufacturing,Manufacturing,engineer,6
179,180,Design engineer- Mechanical,Manufacturing,Manufacturing,engineer,6
180,181,Design - Mechatronics,Manufacturing,Manufacturing,other,6
181,182,"Manufacturing engineer (also known as: Manufacturing design engineer, Manufacturing process engineer, Tooling engineer)",Manufacturing,Manufacturing,engineer,0
182,183,Materials specialist,Manufacturing,Manufacturing,specialist,7
183,184,Pipefitters/Steamfitters,Manufacturing,Manufacturing,other,8
184,185,Production scheduler,Manufacturing,Manufacturing,other,5
185,186,Quality control specialist,Manufacturing,Manufacturing,specialist,7
186,187,Service technician,Manufacturing,Manufacturing,technician,1
187,188,Sourcing specialist,Manufacturing,Manufacturing,specialist,7
188,189,Test technician,Manufacturing,Manufacturing,technician,1
189,190,Test validation engineer,Manufacturing,Manufacturing,engineer,0
190,191,Welder,Manufacturing,Manufacturing,other,8
191,192,Facility maintenance planner,Manufacturing,Manufacturing,other,5
192,193,Maintenance trades - Electrical,Manufacturing,Manufacturing,other,3
193,194,Maintenance trade - Electromechanical,Manufacturing,Manufacturing,mechanic,3
194,195,Maintenance trade - Instrumentation & controls (also known as: Automation technician),Manufacturing,Manufacturing,technician,2
195,196,Maintenance trade - Mechanical,Manufacturing,Manufacturing,mechanic,3
196,197,Mechatronics engineer - Facility,Manufacturing,Manufacturing,engineer,6
197,198,Business & commercial development specialist,Cross Value Chain,Various,specialist,7
198,199,Cybersecurity specialist,Cross Value Chain,Various,specialist,7
199,200,Data engineer,Cross Value Chain,Various,engineer,0
200,201,Data scientist,Cross Value Chain,Various,other,7
201,202,Software developer,Cross Value Chain,Various,other,0
202,203,Systems integration specialist,Cross Value Chain,Various,specialist,2
203,204,Environmental specialist,Cross Value Chain,Various,specialist,7
204,205,"Environment, Social, Governance (ESG) analyst",Cross Value Chain,Various,other,7
205,206,Health & safety advisor,Cross Value Chain,Various,other,5
206,207,Indigenous relations specialist,Cross Value Chain,Various,specialist,7
207,208,Regulatory analyst and compliance specialist,Cross Value Chain,Various,specialist,7
208,209,Stakeholder engagement and communications specialist,Cross Value Chain,Various,specialist,7
209,210,Sustainability specialist,Cross Value Chain,Various,specialist,7
210,211,Cathodic protection technician,Cross Value Chain,Various,technician,1
211,212,Coating inspector,Cross Value Chain,Various,inspector,8
212,213,Construction inspector,Cross Value Chain,Various,inspector,8
213,214,Safety codes inspector (also known as: Safety codes officer),Cross Value Chain,Various,inspector,2
214,215,Welding inspector,Cross Value Chain,Various,inspector,8
