occupation_id,core_occupation,value_chain,technology,,,,,,,,,,,,,,,,,,,,,,,
74,Service rig crew,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
75,Well completions operator,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
76,Well completions supervisor,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
77,Reservoir engineer,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
78,Geologist Geophysicist,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
79,Instrumentation technician,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
80,"Technologist Diploma: Chemical, Petroleum Engineering",Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
81,Sampling and analysis technician,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
82,Seismic crew,Production,CCS,,,,,,,,,,,,,,,,,,,,,,,
83,Cavern engineer,Storage,Underground,,,,,,,,,,,,,,,,,,,,,,,
84,Geologist Geophysicist Geotechnical specialist,Storage,Underground,,,,,,,,,,,,,,,,,,,,,,,
85,Heavy duty mechanic,Storage,Underground,,,,,,,,,,,,,,,,,,,,,,,
86,Reservoir technologist,Storage,Underground,,,,,,,,,,,,,,,,,,,,,,,
87,Service rig crew,Storage,Underground,,,,,,,,,,,,,,,,,,,,,,,
88,Well completions operators,Storage,Underground,,,,,,,,,,,,,,,,,,,,,,,
89,Well completions supervisor,Storage,Underground,,,,,,,,,,,,,,,,,,,,,,,
90,Control centre operator,Storage,Underground,,,,,,,,,,,,,,,,,,,,,,,
91,Maintenance trade - Electrical & Instrumentation,Storage,Underground,,,,,,,,,,,,,,,,,,,,,,,
92,Maintenance trade - Mechanical,Storage,Underground,,,,,,,,,,,,,,,,,,,,,,,
93,Measurement specialist,Storage,Underground,,,,,,,,,,,,,,,,,,,,,,,
94,Automation & controls specialist,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
95,Compression specialist,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
96,Corrosion specialist,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
97,Electrical & instrumentation engineer,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
98,Measurement specialist,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
99,Pipeline engineer,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
100,Pipeline integrity specialist,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
101,Process safety engineer,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
102,Control centre operator,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
103,Pipeline scheduler,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
104,Maintenance trade - Electrical,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
105,Pipeline technician- Electrical & instrumentation,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
106,Pipeline technician - Mechanical,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
107,Station operator - Compression,Transport,Pipeline,,,,,,,,,,,,,,,,,,,,,,,
108,Cylinder technician,Transport,Truck,,,,,,,,,,,,,,,,,,,,,,,
109,Logistics coordinator,Transport,Truck,,,,,,,,,,,,,,,,,,,,,,,
110,Tank tester/inspector,Transport,Truck,,,,,,,,,,,,,,,,,,,,,,,
111,Truck driver - Hydrogen delivery,Transport,Truck,,,,,,,,,,,,,,,,,,,,,,,
112,Automation & controls specialist,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
113,Facility engineer,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
114,Measurement specialist,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
115,Mechanical engineer - Equipment & piping,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
116,Mechanical engineer - Reliability,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
117,Process control engineer,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
118,Process engineer,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
119,Process safety engineer,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
