Unnamed: 0,occupation_id,core_occupation,value_chain,technology,Category,Cluster
114,115,Mechanical engineer - Equipment & piping,Upgrading,Ammonia,engineer,18
115,116,Mechanical engineer - Reliability,Upgrading,Ammonia,engineer,19
116,117,Process control engineer,Upgrading,Ammonia,engineer,7
117,118,Process engineer,Upgrading,Ammonia,engineer,7
118,119,Process safety engineer,Upgrading,Ammonia,engineer,7
119,120,Production engineer,Upgrading,Ammonia,engineer,20
120,121,Control room operator,Upgrading,Ammonia,operator,6
121,122,Lab technician,Upgrading,Ammonia,technician,16
122,123,Maintenance planner,Upgrading,Ammonia,other,13
123,124,Maintenance trade - Instrumentation technician,Upgrading,Ammonia,technician,1
124,125,Maintenance trade - Mechanical,Upgrading,Ammonia,mechanic,2
125,126,Plant manager,Upgrading,Ammonia,manager,4
126,127,Plant operator,Upgrading,Ammonia,operator,4
127,128,Dual fuel heavy duty mechanic,End Use,Transport,mechanic,12
128,129,Transit operator,End Use,Transport,operator,12
129,130,Fleet manager,End Use,Transport,manager,12
130,131,Fuel cell electric vehicle (FCEV) technician,End Use,Transport,technician,12
131,132,Locomotive engineer,End Use,Transport,engineer,12
132,133,Locomotive mechanic (shop and field),End Use,Transport,mechanic,12
133,134,Transportation solutions advisor,End Use,Transport,other,12
134,135,"Truck drivers - Class 1 & 3 Transport, freight, delivery/courier",End Use,Transport,other,12
135,136,Automation & controls specialist,End Use,Fueling Station,specialist,5
136,137,Mechanical engineer - Compression,End Use,Fueling Station,engineer,8
137,138,Mechanical engineer - Equipment & piping,End Use,Fueling Station,engineer,18
138,139,Mechanical engineer - Reliability,End Use,Fueling Station,engineer,19
139,140,Process control engineer,End Use,Fueling Station,engineer,7
140,141,Process engineer,End Use,Fueling Station,engineer,7
141,142,Process safety engineer,End Use,Fueling Station,engineer,7
142,143,Product engineer,End Use,Fueling Station,engineer,20
143,144,Quality engineer,End Use,Fueling Station,engineer,14
144,145,Fueling station technician,End Use,Fueling Station,technician,12
145,146,Logistics coordinator,End Use,Fueling Station,other,12
146,147,Maintenance technician - Compression,End Use,Fueling Station,technician,8
147,148,Maintenance technician - Electrical & mechanical,End Use,Fueling Station,technician,16
148,149,Truck Driver - Hydrogen fuel delivery,End Use,Fueling Station,other,12
149,150,Asset performance manager,End Use,Heating,manager,14
150,151,Gas fuser,End Use,Heating,other,12
151,152,"HVAC technician (also known as: Refrigeration and Air Conditioning Mechanic, HVAC-R technician)",End Use,Heating,technician,16
152,153,Utility inspector,End Use,Power Generation,inspector,17
153,154,Utility operator,End Use,Power Generation,operator,12
154,155,Utility services planner,End Use,Power Generation,other,12
155,156,Utility services technician,End Use,Power Generation,technician,16
156,157,Welding engineer,End Use,Power Generation,engineer,17
157,158,Automation & controls specialist,End Use,Power Generation,specialist,5
158,159,Electrical engineer,End Use,Power Generation,engineer,20
159,160,Electrical & instrumentation engineer,End Use,Power Generation,engineer,20
160,161,Facility engineer,End Use,Power Generation,engineer,20
161,162,Hydrogen integration specialist,End Use,Power Generation,specialist,12
162,163,Mechanical engineer - Equipment & piping,End Use,Power Generation,engineer,18
163,164,Mechanical engineer - Reliability,End Use,Power Generation,engineer,19
164,165,Process control engineer,End Use,Power Generation,engineer,7
165,166,Process engineer,End Use,Power Generation,engineer,7
166,167,Process safety engineer,End Use,Power Generation,engineer,7
167,168,Control room operator,End Use,Power Generation,operator,6
168,169,Maintenance planner,End Use,Power Generation,other,13
169,170,Maintenance trade - Electrical,End Use,Power Generation,other,2
170,171,Maintenance trade - Instrumentation & controls,End Use,Power Generation,other,1
171,172,Maintenance trade - Mechanical,End Use,Power Generation,mechanic,2
172,173,Plant operator,End Use,Power Generation,operator,4
173,174,Power scheduler,End Use,Power Generation,other,11
174,175,Applications engineer,Manufacturing,Manufacturing,engineer,20
175,176,Assembly technician (also known as: Production worker),Manufacturing,Manufacturing,technician,16
176,177,Compliance specialist (also known as: Controls specialist),Manufacturing,Manufacturing,specialist,14
177,178,"CNC fabrication technician (also known as: CNC operator, CNC programmer, Manufacturing technician)",Manufacturing,Manufacturing,technician,16
178,179,Design engineer - Electrical & instrumentation,Manufacturing,Manufacturing,engineer,20
179,180,Design engineer- Mechanical,Manufacturing,Manufacturing,engineer,20
180,181,Design - Mechatronics,Manufacturing,Manufacturing,other,20
181,182,"Manufacturing engineer (also known as: Manufacturing design engineer, Manufacturing process engineer, Tooling engineer)",Manufacturing,Manufacturing,engineer,20
182,183,Materials specialist,Manufacturing,Manufacturing,specialist,14
183,184,Pipefitters/Steamfitters,Manufacturing,Manufacturing,other,18
184,185,Production scheduler,Manufacturing,Manufacturing,other,11
185,186,Quality control specialist,Manufacturing,Manufacturing,specialist,14
186,187,Service technician,Manufacturing,Manufacturing,technician,16
187,188,Sourcing specialist,Manufacturing,Manufacturing,specialist,14
188,189,Test technician,Manufacturing,Manufacturing,technician,16
189,190,Test validation engineer,Manufacturing,Manufacturing,engineer,17
190,191,Welder,Manufacturing,Manufacturing,other,17
191,192,Facility maintenance planner,Manufacturing,Manufacturing,other,13
192,193,Maintenance trades - Electrical,Manufacturing,Manufacturing,other,2
193,194,Maintenance trade - Electromechanical,Manufacturing,Manufacturing,mechanic,2
194,195,Maintenance trade - Instrumentation & controls (also known as: Automation technician),Manufacturing,Manufacturing,technician,1
195,196,Maintenance trade - Mechanical,Manufacturing,Manufacturing,mechanic,2
196,197,Mechatronics engineer - Facility,Manufacturing,Manufacturing,engineer,20
197,198,Business & commercial development specialist,Cross Value Chain,Various,specialist,14
198,199,Cybersecurity specialist,Cross Value Chain,Various,specialist,14
199,200,Data engineer,Cross Value Chain,Various,engineer,20
200,201,Data scientist,Cross Value Chain,Various,other,20
201,202,Software developer,Cross Value Chain,Various,other,20
202,203,Systems integration specialist,Cross Value Chain,Various,specialist,14
203,204,Environmental specialist,Cross Value Chain,Various,specialist,14
204,205,"Environment, Social, Governance (ESG) analyst",Cross Value Chain,Various,other,14
205,206,Health & safety advisor,Cross Value Chain,Various,other,14
206,207,Indigenous relations specialist,Cross Value Chain,Various,specialist,14
207,208,Regulatory analyst and compliance specialist,Cross Value Chain,Various,specialist,14
208,209,Stakeholder engagement and communications specialist,Cross Value Chain,Various,specialist,14
209,210,Sustainability specialist,Cross Value Chain,Various,specialist,14
210,211,Cathodic protection technician,Cross Value Chain,Various,technician,16
211,212,Coating inspector,Cross Value Chain,Various,inspector,17
212,213,Construction inspector,Cross Value Chain,Various,inspector,17
213,214,Safety codes inspector (also known as: Safety codes officer),Cross Value Chain,Various,inspector,17
214,215,Welding inspector,Cross Value Chain,Various,inspector,17
